State,Industry_Type,Year,Industrial_Output_Crore,Employment_Lakh,Investment_Crore,Factories_Count,Pollution_Index,Electricity_Consumption_GWh,Export_Crore
Haryana,Electronics,2024,21865,32.44,11006,2598,,2695,8662
Karnataka,Food Processing,2018,7914,66.85,27440,5408,22.29,19480,23909
Punjab,,2018,42223,61.18,21315,97,86.58,13183,8549
Telangana,Steel,2021,36839,47.09,25515,3130,47.39,6795,22399
Chhattisgarh,Steel,2017,48794,43.3,28054,5717,74.31,,21035
nan,Food Processing,2025,13706,72.57,2364,2175,43.5,11133,7743
Tamil Nadu,Chemical,2021,19766,30.69,15386,692,30.41,2254,10630
Tamil Nadu,Food Processing,2025,15596,62.34,157,7517,77.88,1128,3912
Tamil Nadu,Chemical,2023,3201,14.57,10649,2306,20.84,12692,14465
nan ,Steel,2023,7471,71.87,8476,3331,69.78,3863,
Tamil Nadu,Automobile,2017,37350,62.09,278,3188,67.37,7046,1836
Assam,Steel,2020,20038,23.6,16379,6833,77.47,4973,6651
Chhattisgarh,Mining,2023,16076,98.11,21023,3011,89.99,13897,1118
Telangana,Steel,2016,30841,48.76,8866,5024,67.4,11951,4969
Uttar Pradesh,Electronics,2024,43140,76.76,22897,6045,90.31,7425,12097
Jharkhand,Textile,2019,49717,78.1,3824,3749,87.47,5307,9236
Chhattisgarh,Mining,2024,1227,91.2,Unknown,4818,79.19,3732,22501
Odisha,Textile,2025,12901,67.9,17471,2115,54.09,15838,13857
Tamil Nadu,IT,,33117,,22685,7629,40.11,783,20046
Madhya Pradesh,IT,2020,31430,70.82,24076,6590,81.35,3531,12453
Uttar Pradesh,IT,2024,17784,43.64,13691,2451,29.62,9342,19449
Gujarat,Pharmaceutical,,27742,15.49,24650,7759,85.64,19864,23597
Kerala,Food Processing,2024,898,43.06,15595,1540,15.97,,16588
Goa,Electronics,2025,12120,21.65,20434,4507,25.63,3024,10883
Uttar Pradesh,Energy,2022,22490,92.86,20427,4298,46.66,7320,3206
Uttar Pradesh,IT,2022,10116,49.06,8747,6440,22.41,4198,12206
Karnataka ,Steel,2024,17709,64.01,15667,8632,68.88,1967,23723
Punjab,Electronics,2017,35298,72.99,24401,5226,30.49,12431,16509
nan,Textile,2022,47003,24.48,12063,1994,43.76,7297,15712
Telangana,Steel,2024,36173,93.45,13754,8987,34.39,8435,20130
Gujarat,Steel,2024,22002,35.69,17230,3231,90.01,13932,13333
Andhra Pradesh,Food Processing,2015,37825,15.51,15155,6820,89.52,9649,4197
Punjab,Pharmaceutical,2019,11091,79.47,12264,6720,39.2,19901,6463
Chhattisgarh,Energy,2022,32572,4.24,24547,4101,12.84,5574,
Tamil Nadu,Steel,2018,13310,92.73,25960,2062,67.5,15174,19980
Odisha,Steel,2019,25429,,10232,2532,36.95,15673,11614
Goa,IT,2022,38774,79.58,23760,1350,73.96,1552,22403
Tamil Nadu,Chemical,2022,31910,73.63,12793,8198,80.77,4282,710
nan,Mining,2021,15986,58.61,13973,1177,26.62,16014,14952
Assam,Pharmaceutical,2019,6557,72.83,14757,7301,39.83,941,23373
Chhattisgarh,Mining,2020,6361,54.85,24150,8919,26.89,9392,20331
Telangana,Electronics,2018,48427,45.57,20035,8823,48.56,6316,8292
Punjab,Textile,2025,36954,26.98,15195,1147,17.12,10792,13787
Kerala,Steel,2019,8354,87.34,4913,5477,19.31,11979,
Rajasthan,Chemical,2024,11833,86.35,740,6606,34.07,6297,18943
Madhya Pradesh,Mining,2024,44492,82.45,617,5736,52.03,8254,18672
Uttarakhand,Energy,2020,30366,68.19,10512,96,85.88,8828,9318
Maharashtra,Chemical,2018,41742,30.84,5681,6400,84.33,6273,4843
Tamil Nadu,Pharmaceutical,2016,47552,90.16,20701,6311,,5652,20395
Bihar,Pharmaceutical,2025,6836,67.35,22652,6564,39.2,14156,12683
Assam,Textile,2020,10819,93.42,914,2767,53.06,11498,22013
Haryana,Chemical,2025,6560,89.23,4794,6628,20.35,2788,7047
Kerala,Textile,2020,22772,57.16,22562,4658,59.04,12836,13609
Bihar,Pharmaceutical,2015,48865,28.03,24498,8155,73.05,12248,6405
Assam,IT,2023,7449,36.35,16401,2122,81.1,18943,1195
Uttar Pradesh,Chemical,,21987,56.39,27318,5515,,13617,6181
Uttarakhand,Steel,2024,49665,79.12,14864,846,78.8,7926,5737
Haryana,Chemical,2023,43622,23.62,29751,4642,47.11,19677,13014
Goa,Electronics,2016,40148,83.25,29396,3184,33.8,6964,9472
Andhra Pradesh,Pharmaceutical,2017,28627,79.66,18606,2432,71.88,19159,14523
Maharashtra,Steel,2023,45003,91.39,1825,8458,68.48,10056,14006
nan,IT,2015,4663,46.54,28728,6431,43.2,17619,18651
Madhya Pradesh ,Automobile,2019,1660,89.92,4256,9649,77.88,3965,20537
Bihar,Steel,2025,22913,67.7,17933,9024,76.95,4774,14484
Karnataka,Chemical,2019,31633,41.1,26896,6238,81.49,516,21696
Rajasthan,Chemical,2021,38222,39.98,12862,5754,83.87,11486,21597
Karnataka,Steel,2020,16715,57.67,nan,304,17.34,7258,6282
Telangana,Electronics,2023,9126,81.04,20746,7332,65.44,3689,24510
Bihar,Energy,2016,45249,85.26,26577,3843,23.21,7405,3395
Telangana,IT,2015,18303,88.81,17852,6717,83.26,10302,16870
Karnataka,Chemical,2024,5172,97.28,11188,6473,53.86,3465,14342
Odisha,Energy,2022,39489,8.37,13575,7796,72.3,8550,23605
Chhattisgarh,Electronics,2024,9397,80.76,18479,6382,24.47,1547,11543
Jharkhand,Mining,2019,29465,94.83,27201,4712,76.34,16919,15628
Uttar Pradesh,Food Processing,2019,23375,47.02,16699,2154,78.81,15970,7545
West Bengal,Energy,2020,27017,49.98,18166,5360,29.26,11442,8946
Punjab,Electronics,2020,7278,,5541,4462,60.11,10156,13002
Rajasthan,Pharmaceutical,2016,44403,10.89,333,773,34.41,14114,22266
Tamil Nadu,Automobile,2023,16210,88.79,21883,7142,30.96,17536,17822
Bihar,Automobile,2018,20255,4.23,8006,8624,22.3,16692,21308
nan,Energy,2020,5705,81.18,5766,2555,11.39,566,9024
Kerala,IT,2016,27940,32.65,9434,1767,36.42,6341,19749
Madhya Pradesh,Mining,2019,42645,50.99,nan,7086,61.53,11828,273
Gujarat,,2015,40789,28.6,29316,9848,18.65,9247,4369
Rajasthan,Automobile,2019,25820,72.68,21291,9370,12.13,16425,3258
Bihar,Chemical,2023,24327,52.62,21160,3098,85.15,8200,10850
Maharashtra,Food Processing,2017,13729,34.63,nan,3084,62.51,4826,8141
Tamil Nadu,Mining,2021,22041,51.59,12458,2127,76.13,,
Goa,Chemical,2019,24739,14.98,13700,,64.42,5272,14934
Uttar Pradesh,Chemical,2023,37359,5.17,21563,9687,83.34,10611,19920
Uttarakhand,Mining,2025,28466,,27067,9435,75.09,9755,19477
Uttar Pradesh,Textile,2015,36573,70.91,13033,411,53.05,6584,16513
Karnataka ,Textile,2021,42548,71.56,9071,1642,20.29,14941,6590
Odisha,Food Processing,2015,,96.04,Unknown,8925,89.89,19358,24879
Chhattisgarh,IT,2018,14705,11.14,9064,,66.37,10648,14308
Chhattisgarh,IT,2018,32332,4.2,182,578,50.1,1492,310
Rajasthan,Electronics,2025,46119,23.73,17149,2154,43.52,11437,10026
West Bengal,Mining,,30890,52.25,5792,3375,46.8,12561,20320
Rajasthan,Automobile,2020,37029,64.12,29545,9039,68.27,7757,17056
Punjab,Energy,2023,39425,34.22,8343,7510,65.45,13959,2721
Jharkhand,Food Processing,2017,5745,63.48,23269,5157,29.85,1859,20566
Goa,Mining,2021,9221,61.61,16570,4002,16.74,272,16537
Tamil Nadu,Electronics,2015,36532,66.07,16378,4261,71.02,9357,23572
Goa,IT,2016,12043,51.31,nan,995,83.48,14078,3054
nan,Energy,2019,38063,82.99,26910,250,67.09,348,19122
Kerala,Automobile,2021,20790,11.76,19563,7739,64.67,4265,10647
West Bengal,Textile,2017,43093,23.89,26008,8686,83.13,,7218
Kerala,Energy,2025,34740,57.35,14973,8066,79.13,10105,9064
Karnataka,Chemical,2015,49977,61.44,12990,4813,66.85,8625,24175
Chhattisgarh,IT,2020,46205,39.52,23080,2523,40.99,,18546
Madhya Pradesh,Chemical,2017,46749,83.27,23283,7114,55.58,6126,2807
Uttarakhand,Chemical,2017,13295,39.51,16525,9486,38.09,18903,22382
Kerala,Textile,2025,47634,28.69,8113,8211,21.14,13796,1500
Madhya Pradesh,Energy,2021,13647,46.04,8479,1908,50.66,6254,8174
Karnataka,Mining,2019,49008,62.68,13339,4494,45.72,13171,21185
Bihar,Electronics,2021,39835,67.41,5864,8499,25.05,1714,11741
Haryana ,Steel,2025,13731,52.25,1350,8924,43.02,16196,21222
Haryana,IT,2018,25100,8.56,4815,8558,38.27,19338,8417
Madhya Pradesh,Automobile,2024,15105,49.97,243,699,32.63,14693,18755
Uttarakhand,Steel,2016,6938,68.23,11667,4403,27.01,1703,6355
Madhya Pradesh,Pharmaceutical,2019,31371,19.3,7195,2410,82.84,11738,10043
Maharashtra,Electronics,2018,34216,77.89,20798,1595,77.21,6766,12423
Odisha,Chemical,2023,39524,89.58,22335,448,39.88,5662,7433
Haryana ,Automobile,2024,8673,67.01,21616,1093,30.29,9274,18157
Tamil Nadu,Energy,2015,10968,71.5,28513,8426,73.97,7066,21152
Chhattisgarh,Electronics,2024,41984,13.75,14379,3793,30.02,16559,10417
West Bengal,Textile,2024,13962,27.34,28669,9464,41.42,9956,22698
Goa,Electronics,2022,42175,54.54,nan,2105,54.67,469,7496
Tamil Nadu,Textile,2016,13648,72.4,22412,6685,39.35,18625,18080
Karnataka,IT,2019,36610,28.64,22319,4187,28.25,5354,16105
Andhra Pradesh,IT,2022,44460,68.37,24347,7261,35.17,2421,5722
Kerala,Electronics,2024,9893,32.94,nan,8680,13.82,9771,9092
Gujarat ,Steel,2016,37185,31.87,11215,3781,11.77,1983,9349
